Date	Temp	Pressure	Humidity	Wind Speed
20.02.2019	9.5	767.4	92	1
19.02.2019	12.4	766.9	74	1
18.02.2019	7.6	765.3	91	1
17.02.2019	8.6	765.7	83	2
16.02.2019	11	763.4	90	5
15.02.2019	10.3	757.9	76	7
14.02.2019	10.8	758.9	77	2
13.02.2019	11.6	763.4	80	0
12.02.2019	9.4	766.9	89	1
11.02.2019	14.2	766.6	65	4
10.02.2019	9.6	765.3	89	0
09.02.2019	14.1	763.7	67	4
08.02.2019	9.4	759.3	82	1
07.02.2019	7.5	759.7	81	0
06.02.2019	15.3	761.5	41	6
05.02.2019	13	759.9	81	2
04.02.2019	12.6	762.6	91	3
03.02.2019	11	765.7	84	1
02.02.2019	10.5	765.7	91	0
01.02.2019	9.2	765.3	64	1
31.01.2019	6.4	763.7	71	1
29.01.2019	8.5	763.6	84	0
28.01.2019	12.4	760	79	8
27.01.2019	14.2	758.5	34	6
26.01.2019	9.7	757.4	60	0
25.01.2019	8	760.6	66	1
24.01.2019	10	754.8	78	3
23.01.2019	9.9	762.8	95	0
22.01.2019	10.9	762.8	95	0
21.01.2019	11.1	763.6	83	2
20.01.2019	10.7	765.8	84	2
19.01.2019	9.3	766.4	91	0
18.01.2019	9.8	767.2	83	1
17.01.2019	13.1	765.5	52	6
16.01.2019	14	756.9	60	10
15.01.2019	8.8	760.2	71	5
14.01.2019	14.7	757.9	79	5
13.01.2019	9	754.6	92	6
12.01.2019	8.1	763	92	0
11.01.2019	7.4	767.3	86	1
10.01.2019	6	767.2	87	1
09.01.2019	11	764.8	67	6
08.01.2019	9.6	762.9	79	4
07.01.2019	9.4	763.6	72	5
05.01.2019	12.4	764.8	70	1
04.01.2019	11.6	766.1	75	2
03.01.2019	11.2	761.8	86	5
02.01.2019	10.3	761.4	71	3
01.01.2019	10.6	763.2	91	1
