tas,Year,Month,Country
-1.319,1901,1,ALB
1.50212,1901,2,ALB
7.86605,1901,3,ALB
10.2793,1901,4,ALB
13.24,1901,5,ALB
16.8263,1901,6,ALB
20.9019,1901,7,ALB
19.9478,1901,8,ALB
17.5112,1901,9,ALB
13.0335,1901,10,ALB
6.00137,1901,11,ALB
6.18458,1901,12,ALB
3.16386,1902,1,ALB
6.32242,1902,2,ALB
5.4463,1902,3,ALB
10.524,1902,4,ALB
11.894,1902,5,ALB
16.7954,1902,6,ALB
20.7421,1902,7,ALB
21.6851,1902,8,ALB
18.3984,1902,9,ALB
13.5784,1902,10,ALB
5.21772,1902,11,ALB
1.12991,1902,12,ALB
1.19281,1903,1,ALB
3.64065,1903,2,ALB
6.99952,1903,3,ALB
8.27119,1903,4,ALB
14.2876,1903,5,ALB
16.2099,1903,6,ALB
19.8373,1903,7,ALB
21.1162,1903,8,ALB
17.8327,1903,9,ALB
13.2606,1903,10,ALB
7.67017,1903,11,ALB
6.24603,1903,12,ALB
1.35638,1904,1,ALB
6.12799,1904,2,ALB
6.16901,1904,3,ALB
10.5197,1904,4,ALB
14.7374,1904,5,ALB
18.1255,1904,6,ALB
21.432,1904,7,ALB
20.996,1904,8,ALB
16.0609,1904,9,ALB
12.8739,1904,10,ALB
4.83618,1904,11,ALB
3.39269,1904,12,ALB
-2.6085,1905,1,ALB
0.14145,1905,2,ALB
6.28454,1905,3,ALB
9.39672,1905,4,ALB
14.6761,1905,5,ALB
17.2615,1905,6,ALB
21.7028,1905,7,ALB
22.4115,1905,8,ALB
19.7405,1905,9,ALB
10.196,1905,10,ALB
10.7683,1905,11,ALB
3.98142,1905,12,ALB
0.99187,1906,1,ALB
2.39605,1906,2,ALB
6.89984,1906,3,ALB
9.92296,1906,4,ALB
13.206,1906,5,ALB
16.7892,1906,6,ALB
20.9971,1906,7,ALB
19.8776,1906,8,ALB
16.1348,1906,9,ALB
12.1874,1906,10,ALB
8.89836,1906,11,ALB
2.77266,1906,12,ALB
-0.5613,1907,1,ALB
0.55695,1907,2,ALB
1.6501,1907,3,ALB
8.17446,1907,4,ALB
16.3742,1907,5,ALB
17.9891,1907,6,ALB
20.3477,1907,7,ALB
21.0688,1907,8,ALB
16.9922,1907,9,ALB
15.9112,1907,10,ALB
6.99312,1907,11,ALB
5.35483,1907,12,ALB
-0.1002,1908,1,ALB
2.00469,1908,2,ALB
5.08232,1908,3,ALB
8.73059,1908,4,ALB
17.1699,1908,5,ALB
18.8189,1908,6,ALB
20.4516,1908,7,ALB
20.7002,1908,8,ALB
16.1781,1908,9,ALB
11.6564,1908,10,ALB
3.82191,1908,11,ALB
1.57833,1908,12,ALB
-0.7821,1909,1,ALB
-1.0435,1909,2,ALB
6.7813,1909,3,ALB
10.5298,1909,4,ALB
14.1845,1909,5,ALB
17.7724,1909,6,ALB
20.6122,1909,7,ALB
20.838,1909,8,ALB
17.7328,1909,9,ALB
13.0193,1909,10,ALB
6.34724,1909,11,ALB
6.90132,1909,12,ALB
2.9158,1910,1,ALB
5.09604,1910,2,ALB
5.19806,1910,3,ALB
9.67544,1910,4,ALB
13.394,1910,5,ALB
17.3663,1910,6,ALB
19.5432,1910,7,ALB
20.7295,1910,8,ALB
15.7811,1910,9,ALB
12.7121,1910,10,ALB
7.49264,1910,11,ALB
7.02118,1910,12,ALB
1.22029,1911,1,ALB
0.18696,1911,2,ALB
5.309,1911,3,ALB
8.63232,1911,4,ALB
13.3864,1911,5,ALB
17.568,1911,6,ALB
20.7609,1911,7,ALB
21.3385,1911,8,ALB
17.3696,1911,9,ALB
13.1946,1911,10,ALB
9.36525,1911,11,ALB
4.54548,1911,12,ALB
0.55386,1912,1,ALB
5.48271,1912,2,ALB
8.1943,1912,3,ALB
7.61369,1912,4,ALB
13.2906,1912,5,ALB
18.2462,1912,6,ALB
20.4983,1912,7,ALB
19.5111,1912,8,ALB
14.1645,1912,9,ALB
11.1355,1912,10,ALB
5.48749,1912,11,ALB
4.09951,1912,12,ALB
1.68744,1913,1,ALB
1.61701,1913,2,ALB
7.64239,1913,3,ALB
9.94623,1913,4,ALB
13.0079,1913,5,ALB
17.4966,1913,6,ALB
18.3291,1913,7,ALB
18.9233,1913,8,ALB
17.9302,1913,9,ALB
13.2151,1913,10,ALB
8.50744,1913,11,ALB
3.49623,1913,12,ALB
-1.262,1914,1,ALB
1.46511,1914,2,ALB
7.06123,1914,3,ALB
10.4421,1914,4,ALB
13.5508,1914,5,ALB
16.5101,1914,6,ALB
20.0912,1914,7,ALB
20.9053,1914,8,ALB
16.1227,1914,9,ALB
11.0633,1914,10,ALB
6.09844,1914,11,ALB
4.97856,1914,12,ALB
3.89564,1915,1,ALB
3.47436,1915,2,ALB
5.84314,1915,3,ALB
9.57951,1915,4,ALB
14.8318,1915,5,ALB
19.047,1915,6,ALB
20.7623,1915,7,ALB
19.9515,1915,8,ALB
15.2464,1915,9,ALB
12.0026,1915,10,ALB
6.50866,1915,11,ALB
